group,sta,date,prcp,yr,Period
RAP>1989,RAP,1990-04-15,197,1990,>1989
COT>1989,COT,1990-05-15,745,1990,>1989
GOR>1989,GOR,1990-05-15,902,1990,>1989
MIS>1989,MIS,1990-05-15,1339,1990,>1989
OEL>1989,OEL,1990-05-15,859,1990,>1989
ONI>1989,ONI,1990-05-15,561,1990,>1989
RAP>1989,RAP,1990-05-15,1238,1990,>1989
COT>1989,COT,1990-06-15,476,1990,>1989
GOR>1989,GOR,1990-06-15,732,1990,>1989
MIS>1989,MIS,1990-06-15,591,1990,>1989
OEL>1989,OEL,1990-06-15,363,1990,>1989
ONI>1989,ONI,1990-06-15,770,1990,>1989
RAP>1989,RAP,1990-06-15,362,1990,>1989
COT>1989,COT,1990-07-15,719,1990,>1989
GOR>1989,GOR,1990-07-15,595,1990,>1989
MIS>1989,MIS,1990-07-15,1016,1990,>1989
OEL>1989,OEL,1990-07-15,800,1990,>1989
ONI>1989,ONI,1990-07-15,593,1990,>1989
RAP>1989,RAP,1990-07-15,494,1990,>1989
COT>1989,COT,1990-08-15,219,1990,>1989
GOR>1989,GOR,1990-08-15,529,1990,>1989
MIS>1989,MIS,1990-08-15,488,1990,>1989
OEL>1989,OEL,1990-08-15,208,1990,>1989
ONI>1989,ONI,1990-08-15,673,1990,>1989
RAP>1989,RAP,1990-08-15,475,1990,>1989
COT>1989,COT,1990-09-15,140,1990,>1989
GOR>1989,GOR,1990-09-15,282,1990,>1989
MIS>1989,MIS,1990-09-15,84,1990,>1989
OEL>1989,OEL,1990-09-15,295,1990,>1989
ONI>1989,ONI,1990-09-15,262,1990,>1989
RAP>1989,RAP,1990-09-15,620,1990,>1989
COT>1989,COT,1990-10-15,83,1990,>1989
GOR>1989,GOR,1990-10-15,226,1990,>1989
MIS>1989,MIS,1990-10-15,246,1990,>1989
OEL>1989,OEL,1990-10-15,119,1990,>1989
ONI>1989,ONI,1990-10-15,140,1990,>1989
RAP>1989,RAP,1990-10-15,157,1990,>1989
COT>1989,COT,1990-11-15,143,1990,>1989
GOR>1989,GOR,1990-11-15,102,1990,>1989
MIS>1989,MIS,1990-11-15,104,1990,>1989
