sta,date,prcp
COT,1983-05-15,1057
COT,1984-05-15,802
COT,1985-05-15,183
COT,1986-05-15,575
COT,1987-05-15,920
COT,1988-05-15,747
COT,1989-05-15,359
COT,1990-05-15,745
COT,1991-05-15,1734
COT,1992-05-15,292
COT,1993-05-15,678
COT,1994-05-15,212
COT,1995-05-15,1324
COT,1996-05-15,1297
COT,1997-05-15,849
COT,1998-05-15,773
COT,1999-05-15,607
COT,2000-05-15,258
COT,2001-05-15,423
COT,2002-05-15,495
COT,2003-05-15,407
COT,2004-05-15,420
COT,2005-05-15,1046
COT,2006-05-15,125
COT,2007-05-15,587
COT,2008-05-15,1411
COT,2009-05-15,80
COT,2010-05-15,715
COT,2011-05-15,1294
COT,2012-05-15,328
COT,2013-05-15,864
COT,2014-05-15,592
COT,2015-05-15,1752
COT,2016-05-15,239
COT,2017-05-15,275
COT,2018-05-15,867
COT,1959-06-15,761
COT,1960-06-15,791
COT,1961-06-15,1039
COT,1962-06-15,655
COT,1963-06-15,1094
COT,1964-06-15,1326
COT,1965-06-15,873
COT,1966-06-15,365
COT,1967-06-15,2406
COT,1968-06-15,1682
COT,1969-06-15,730
COT,1970-06-15,276
COT,1971-06-15,451
COT,1972-06-15,523
COT,1973-06-15,286
COT,1974-06-15,164
COT,1975-06-15,625
COT,1976-06-15,503
COT,1977-06-15,243
COT,1978-06-15,236
COT,1979-06-15,1585
COT,1980-06-15,738
COT,1981-06-15,1161
COT,1982-06-15,655
COT,1983-06-15,563
COT,1984-06-15,1669
COT,1985-06-15,495
COT,1986-06-15,977
COT,1987-06-15,338
COT,1988-06-15,1040
COT,1989-06-15,233
COT,1990-06-15,476
COT,1991-06-15,1487
COT,1992-06-15,1457
COT,1993-06-15,1200
COT,1994-06-15,487
COT,1995-06-15,683
COT,1996-06-15,294
COT,1997-06-15,1604
COT,1998-06-15,869
COT,1999-06-15,1029
COT,2000-06-15,535
COT,2001-06-15,560
COT,2002-06-15,89
COT,2003-06-15,415
COT,2004-06-15,478
COT,2005-06-15,638
COT,2006-06-15,236
COT,2007-06-15,406
COT,2008-06-15,976
COT,2009-06-15,540
COT,2010-06-15,1014
COT,2011-06-15,1580
COT,2012-06-15,1149
COT,2013-06-15,579
COT,2014-06-15,1045
COT,2015-06-15,1725
COT,2016-06-15,268
