site_no,sta,station_nm,dec_lat_va,dec_long_va,state_cd,county_cd,alt_va,huc_cd,drain_area_va,contrib_drain_area_va
06442000,,MEDICINE KNOLL CR NEAR BLUNT SD,44.5627602,-99.9142868,46,119,1611.08,10140103,443,421
06442500,,MEDICINE CR AT KENNEBEC SD,43.9052407,-99.8761727,46,85,1659.64,10140104,447,439
06442600,,"MEDICINE CREEK NR LOWER BRULE, SD",44.01637796,-99.745113,46,85,1464.63,10140104,614,606
06442950,,CROW CR NEAR GANN VALLEY SD,43.99138239,-99.2189894,46,17,1434.73,10140105,813,813
06444000,,"White River at Crawford, Nebr.",42.68666667,-103.4177778,31,45,3659.85,10140201,313,
06445000,,"WHITE R BELW COTTONWOOD C N WHITNEY, NEBR.",42.81138889,-103.1666667,31,45,3320,10140201,676,
06445500,,WHITE R NEAR CHADRON NEBR,42.8333061,-103.117134,31,45,,10140201,750,
06445590,,BIG BORDEAUX CREEK NEAR CHADRON NEBR,42.72497148,-102.9293476,31,45,3800,10140201,9.4,
06446200,,WHITE R NEAR ROCKYFORD SD,43.51443415,-102.4921161,46,102,2593.34,10140201,2902,2902
06449250,,SPRING CR NEAR ST FRANCIS SD,43.0725059,-101.0307063,46,121,2815.5,10140203,85.7,80.7
06454100,,"Niobrara River at Agate, Nebr.",42.4236111,-103.7922222,31,165,4405,10150002,934,
06454500,,"NIOBRARA RIVER ABOVE BOX BUTTE RESERVOIR, NE",42.4597222,-103.1711111,31,45,4012.47,10150002,1400,
06455500,,NIOBRARA RIVER BELOW BOX BUTTE RESERVOIR NEBR,42.45638889,-103.0688889,31,45,3950.08,10150003,1460,
06455900,,"NIOBRARA RIVER NEAR DUNLAP, NEBR.",42.46246306,-102.9240799,31,45,3870,10150003,1580,
06456500,,"NIOBRARA RIVER NR HAY SPRINGS, NEBR.",42.4833333,-102.6947222,31,161,3723.42,10150003,,
06457000,,"NIOBRARA RIVER NEAR COLCLESSER, NEBR.",42.5438591,-102.4999187,31,161,,10150003,2220,
06457500,,"NIOBRARA RIVER NEAR GORDON, NEBR.",42.6397222,-102.2105556,31,161,3432.49,10150003,4290,
06458500,,BEAR C NR ELI NEBR,42.90305556,-101.5130556,31,31,3110,10150003,360,78
06459000,,"NIOBRARA R NEAR CODY, NEBR.",42.82777778,-101.2838889,31,31,2770,10150003,5570,3490
06459175,,"SNAKE R AT DOUGHBOY, NE",42.61375,-101.2778333,31,31,3106.16,10150005,405,
06459200,,SNAKE RIVER ABV MERRITT RESERVOIR NEBR,42.6036111,-101.0711111,31,31,2952.75,10150005,440,28
06459500,,"SNAKE RIVER NEAR BURGE, NEBR.",42.65388889,-100.8583333,31,31,2805.36,10150005,660,44
06460900,,"MINNECHADUZA CREEK NEAR KILGORE, NEBRASKA",42.9861111,-100.8972222,31,31,2770,10150004,85,
06461000,,"MINNECHADUZA CREEK AT VALENTINE, NEBR.",42.88555556,-100.5516667,31,31,2470,10150004,390,200
06461300,,"Big Beaver Cr at Nebr Hwy 12 nr Valentine, Nebr.",42.94027778,-100.4575,31,31,2563.1,10150004,,
06462000,,NIOBRARA RIVER NR NORDEN NEBR,42.78694679,-100.0353998,31,103,2108.93,10150004,8390,
06462500,,"PLUM CREEK AT MEADVILLE, NE",42.75361097,-99.8640082,31,17,2026,10150004,536,340
06463000,,NIOBRARA RIVER AT MEADVILLE NE,42.75138847,-99.8462301,31,103,,10150004,,
06463080,," LONG PINE CREEK NR LONG PINE, NE",42.63194444,-99.6797222,31,17,2080,10150004,246,
06463720,,"Niobrara River at Mariaville, Nebr.",42.78055556,-99.3397222,31,103,1797,10150004,9810,
06464000,,KEYA PAHA R NEAR HIDDEN TIMBER SD,43.208339,-100.3559629,46,121,2330,10150006,360,360
