sta,ecoreg,date,log_q1_mon,sci_1mo,sci_2mo,sci_3mo,sci_4mo,sci_6mo,sci_9mo,sci_12mo
bat_her,Black Hills Plateau,1989-01-15,1.02324231799826,-1.38942874104396,,,,,,
bat_her,Black Hills Plateau,1989-02-15,0.98987500846169,-1.38629099818312,-1.39311293646942,,,,,
bat_her,Black Hills Plateau,1989-03-15,1.04713150418893,-1.31349939153392,-1.35205077096352,-1.36710666660001,,,,
bat_her,Black Hills Plateau,1989-04-15,0.962003862532446,-1.57916752269376,-1.46099055543845,-1.44234258934108,-1.43517655237419,,,
bat_her,Black Hills Plateau,1989-05-15,0.892876425322735,-1.70163687326928,-1.65456995543626,-1.60900149361595,-1.58356998313486,,,
bat_her,Black Hills Plateau,1989-06-15,0.762227946095965,-1.7724438039773,-1.71812808901265,-1.63374001796997,-1.67445985529693,-1.67237496762084,,
bat_her,Black Hills Plateau,1989-07-15,0.324469130930035,-1.84664670622192,-1.83695015612318,-1.75272608164371,-1.67387754901878,-1.7381541348427,,
bat_her,Black Hills Plateau,1989-08-15,0.356727195446164,-2.00410800035173,-1.86168288078082,-1.85903844633554,-1.71714643339554,-1.78345752432772,,
bat_her,Black Hills Plateau,1989-09-15,0.881847367196671,-1.3983054161836,-1.72304522141878,-1.74506910714541,-1.73067762628978,-1.70699047418784,-1.75882324212653,
bat_her,Black Hills Plateau,1989-10-15,0.906045456461827,-1.37961503368865,-1.39365684729191,-1.60454788759866,-1.65367282874797,-1.54338503121257,-1.69010002335734,
bat_her,Black Hills Plateau,1989-11-15,1.00131894628273,-1.62409361807863,-1.54016114417802,-1.4329419732997,-1.50072375835228,-1.45533940076616,-1.64312735182912,
bat_her,Black Hills Plateau,1989-12-15,0.946404743058147,-1.62259335055178,-1.62475246957887,-1.57163884541752,-1.49431351553931,-1.7844606000681,-1.59787744325198,-1.65520462052333
bat_her,Black Hills Plateau,1990-01-15,1.12444578511492,-1.1990477292816,-1.45144666469952,-1.51209448396934,-1.50669381028565,-1.53737710600514,-1.45741780704661,-1.60558480606916
bat_her,Black Hills Plateau,1990-02-15,0.888387954607949,-1.56002486933513,-1.39336945255427,-1.5135818122392,-1.54345109969836,-1.49061737208875,-1.40068231152011,-1.57252575688209
bat_her,Black Hills Plateau,1990-03-15,0.851893283822857,-1.61983433557979,-1.59599398596103,-1.47969125170189,-1.563338658765,-1.55802454633086,-1.5734164244317,-1.54303362524093
bat_her,Black Hills Plateau,1990-04-15,0.934292610823615,-1.62823083866003,-1.65211810759256,-1.62913095852537,-1.53438439973171,-1.6169850116985,-1.60804096311766,-1.41390482708389
bat_her,Black Hills Plateau,1990-05-15,1.29410171180408,-1.18244323579835,-1.39800054019175,-1.51897121202274,-1.55283913501596,-1.61932833866553,-1.5777123789429,-1.57276044183969
bat_her,Black Hills Plateau,1990-06-15,1.93058401134741,-0.305002970971253,-0.753531021760115,-1.02125196993517,-1.20636238542015,-1.31039372717726,-1.52186028725132,-1.59681743719639
bat_her,Black Hills Plateau,1990-07-15,1.44702377220153,-0.73941996101416,-0.535523266450037,-0.753418573389565,-0.942728905475256,-1.18892968826994,-1.43485262538278,-1.52836803497362
bat_her,Black Hills Plateau,1990-08-15,1.215720829276,-0.997672156837924,-0.85904561193874,-0.694529153251092,-0.813134588575609,-1.0825637982282,-1.37891827199495,-1.45209899923573
