sta,year,mean,med,IQR,min,max
ONI,2000,40.0916666666667,29.8,53.8,3.2,114.7
ONI,2001,43.4,42,31.45,3.6,101
ONI,2002,29.825,18.95,36.025,1.6,105.2
ONI,2003,38.725,25.3,43.575,7,113.6
ONI,2004,48.8666666666667,62.75,72.35,3.3,94.1
ONI,2005,32.5916666666667,23.65,22.375,4.1,96.9
ONI,2006,34.5833333333333,24.4,22.95,2.9,149.9
ONI,2007,61.4416666666667,52.55,91.475,1.1,164.3
ONI,2008,38.2,24.95,33.6,5.7,127.5
ONI,2009,39.1416666666667,29.6,47.25,2.8,105.5
ONI,2010,47.375,39.35,44.175,6.7,104.4
ONI,2011,52.5666666666667,39.65,60.55,4.8,153.8
ONI,2012,29.7833333333333,16.9,37.725,0.5,86.5
ONI,2013,59.0916666666667,35.35,57.175,8.4,179.6
ONI,2014,38.4583333333333,21.35,45.825,6.4,136.4
ONI,2015,41.4333333333333,32.85,43.325,2.9,138.9
ONI,2016,46.5416666666667,42.65,27.4,7.2,133.9
ONI,2017,34.375,22.7,29.525,5.8,111.7
ORA,1989,25.05,23.15,25.625,0,65.5
ORA,1990,33.8166666666667,21.75,32.975,1,103.6
ORA,1991,44.3083333333333,25,36.6,1.3,150.7
ORA,1992,38.6333333333333,18.4,43.7,3.8,114.1
ORA,1993,51.3833333333333,36.3,53.35,9.7,130.1
ORA,1994,25.2083333333333,21,24.1,3,64.2
ORA,1995,41.9333333333333,32.8,39.275,7.3,106.5
ORA,1996,37.5416666666667,23.05,36.175,0,125.7
ORA,1997,45.7916666666667,23.6,52.425,0,192.2
ORA,1998,58.4416666666667,55.75,83.35,4.8,115.7
ORA,1999,41.0333333333333,25.3,47.75,0,147.5
ORA,2000,36.4416666666667,29.8,14.1,15.2,101.9
ORA,2001,32.825,22.7,41.45,0,74.3
ORA,2002,28.6,17.75,40.125,0.8,84.7
ORA,2003,31.9333333333333,25.9,36.225,2.6,85.9
ORA,2004,24.2833333333333,20,19.95,1.3,73.4
ORA,2005,33.4,17.9,43.75,0.8,103.4
ORA,2006,25.4166666666667,27.85,24.35,6.6,57.1
ORA,2007,26.4583333333333,25.5,19.55,0.3,65.1
ORA,2008,42,38.45,45.525,2.9,140.3
ORA,2009,42.95,39.2,43.375,6.9,94.7
ORA,2010,55.0583333333333,28.25,72,3,152.5
ORA,2011,37.4583333333333,27.45,23.5,3.5,135.6
ORA,2012,24.1,13.65,40.475,1.5,72.1
ORA,2013,45.9916666666667,35.55,54.025,3.8,133.4
ORA,2014,41.7833333333333,30.4,52.35,0.8,127.3
ORA,2015,53.525,18.2,43.95,5.8,214.2
ORA,2016,37.9166666666667,37.6,46.2,0.8,96.9
ORA,2017,34.0916666666667,24.6,39.775,9.9,78
RAP,1989,28.8416666666667,25.5,19.025,0.6,78.6
RAP,1990,34.9,24.75,37.225,5.7,123.8
RAP,1991,36.6916666666667,19.1,41.75,1,112.1
RAP,1992,28.675,15.9,39.85,4.1,83
RAP,1993,41.9916666666667,26.5,42.825,13.4,109.7
RAP,1994,22.3083333333333,16.85,14.175,6.9,72.2
RAP,1995,41.7666666666667,21.05,55.925,2.4,114.4
RAP,1996,45.4166666666667,34.35,23.3,1.9,208
RAP,1997,50.525,18.15,88.25,2.1,135.9
RAP,1998,46.4583333333333,32.9,20.075,1.6,142.5
RAP,1999,41.3166666666667,16.8,64.75,0.6,133.1
RAP,2000,31.8333333333333,26.3,33.55,2.8,100.4
RAP,2001,30.275,23.95,41.025,0,90.6
RAP,2002,21.825,17.1,27.75,0.9,62.3
RAP,2003,23.3166666666667,12.7,22.7,5.8,62.3
RAP,2004,27.9,24.4,27.4,0.3,75.3
RAP,2005,30.5916666666667,22.4,20.65,4.1,134.6
RAP,2006,24.8833333333333,21.55,37.375,0.3,53
RAP,2007,26.725,20.65,18.35,0.8,74.5
RAP,2008,43.525,30.45,27.4,8.7,183.9
RAP,2009,39.55,41.3,31.425,4.3,92.7
RAP,2010,40.75,24.65,43.425,4.4,131.9
RAP,2011,41.175,26.45,22.625,7.4,149.3
RAP,2012,24.175,11.35,35.225,1.3,78.3
RAP,2013,45.975,38.8,51.675,4.6,140.2
RAP,2014,45.625,33.5,50.55,5.2,133.3
RAP,2015,53.475,16.45,84.125,2.5,181
RAP,2016,28.125,21.35,19.925,5.4,72
RAP,2017,23.9833333333333,20.95,22.15,3.7,52.5
