sta,Date,waterYear,log_q1_mon,q1_mon,q7_mon,q30_mon,PC1_mon,PC2_mon,q30_q1_mon,ecoreg
bad_fpi,1980-01-15,1980,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1981-01-15,1981,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1982-01-15,1982,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1983-01-15,1983,-0.15204225974086,0.711247045078654,0.683891389498705,0.721505415921134,-3.05562077491093,0.186625215773133,0.0854864236873382,Pierre Shale Plains
bad_fpi,1984-01-15,1984,-0.581550260797192,0.690730303393692,0.321428953064391,0.153875562637209,-3.76393253943376,0.367251396722685,0.536854740756484,Pierre Shale Plains
bad_fpi,1985-01-15,1985,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1986-01-15,1986,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1987-01-15,1987,0.336065483447554,2.40729769103544,2.5885289092526,3.36816509328112,-2.19364061508159,0.0464265777003898,0.988223057825629,Pierre Shale Plains
bad_fpi,1988-01-15,1988,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1989-01-15,1989,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1990-01-15,1990,0.15493816930765,1.52849725552961,1.61740313616444,1.17971264688527,-2.59118377069222,-0.0204429018303465,0.458207230964133,Pierre Shale Plains
bad_fpi,1991-01-15,1991,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1992-01-15,1992,-0.912116028844574,0.208586873797105,0.119680993162273,0.109422622319793,-4.1387114934373,0.630304921563544,0.0991642514773123,Pierre Shale Plains
bad_fpi,1993-01-15,1993,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,1994-01-15,1994,-0.566644231932029,0.280395469694469,0.294073297484443,0.430851575384184,-3.59664897750113,0.471184097519314,0.150456105689715,Pierre Shale Plains
bad_fpi,1995-01-15,1995,0.343742806972347,9.76254958509402,8.42554191862405,4.1751569328896,-2.10492466091034,-0.00847049949198847,7.05775913962664,Pierre Shale Plains
bad_fpi,1996-01-15,1996,0.300448535480717,3.18009496116898,3.21770898759141,2.57827053841012,-2.26961742508929,0.00486585958433476,2.54407596893518,Pierre Shale Plains
bad_fpi,1997-01-15,1997,1.80365395284153,130.192403818869,120.843608524421,88.5981295095573,0.704644874390157,-0.101510887946183,118.012298171897,Pierre Shale Plains
bad_fpi,1998-01-15,1998,0.861915693110977,8.12462970724462,7.79294238333775,10.0087504853136,-1.29342405732542,-0.114412864122069,3.81953341035027,Pierre Shale Plains
bad_fpi,1999-01-15,1999,0.535625365637095,3.50152391423337,3.77508047003285,7.25266818563377,-1.80430947185791,0.0566686792978836,3.82637232424526,Pierre Shale Plains
bad_fpi,2000-01-15,2000,0.590137038360345,3.95631168825001,4.11360670783471,4.39742163447668,-1.82581310882881,-0.109511389871345,0.680471932551212,Pierre Shale Plains
bad_fpi,2001-01-15,2001,-0.97468116602582,0.106003165372299,0.106003165372299,0.150456105689715,-4.17606720595829,0.705485966704988,0.0444529403174158,Pierre Shale Plains
bad_fpi,2002-01-15,2002,-0.586065521974866,0.266717641904495,0.253039814114521,0.318009496116898,-3.66316402981582,0.45645280194683,0.064969682002377,Pierre Shale Plains
bad_fpi,2003-01-15,2003,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,2004-01-15,2004,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,2005-01-15,2005,-0.603610931566022,0.547113111598964,0.389818092014262,0.222264701587079,-3.73613066305493,0.425519245769567,0.40691537675173,Pierre Shale Plains
bad_fpi,2006-01-15,2006,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,2007-01-15,2007,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,2008-01-15,2008,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.19592383809214,0.678150317418355,0,Pierre Shale Plains
bad_fpi,2009-01-15,2009,-0.259017140171252,2.25342212839823,1.87044295027896,0.871961521610849,-3.1648410065886,0.278976278467456,1.76443978490666,Pierre Shale Plains
bad_fpi,2010-01-15,2010,-0.350738268534748,0.447948860121652,0.471885058754107,0.52317691296651,-3.3142375788411,0.308983200124608,0.0752280528448576,Pierre Shale Plains
bad_fpi,2011-01-15,2011,-0.0489665517484062,0.912995004980772,0.875380978558343,0.779636184028524,-2.91856761491543,0.106452146025125,0.153875562637209,Pierre Shale Plains
