sta,date,prcp,yr,spi_1mo,spi_2mo,spi_3mo,spi_4mo,spi_6mo,spi_9mo,spi_12mo
COT,1989-01-15,21,1989,-1.10322379262504,,,,,,
COT,1989-02-15,115,1989,0.026434261473537,-0.715571399863547,,,,,
COT,1989-03-15,361,1989,0.707482005836831,0.464710185002792,-0.0372851823263491,,,,
COT,1989-04-15,295,1989,-0.83783127802779,-0.31703978747745,-0.466484597107054,-0.706557428764869,,,
COT,1989-05-15,359,1989,-0.607671233160924,-1.15177610254009,-0.947152586680693,-0.964948493826171,,,
COT,1989-06-15,233,1989,-1.4569266728942,-1.31788011168417,-1.93138792086332,-1.75523433629022,-1.72298624072808,,
COT,1989-07-15,272,1989,-0.306832160830812,-1.41115275592055,-1.41709727608858,-1.7030398945884,-1.6236873583517,,
COT,1989-08-15,48,1989,-1.85399607760841,-1.49353658971096,-2.17564720855353,-2.19552575752389,-2.13096565764063,,
COT,1989-09-15,884,1989,1.71548607038254,0.665061225576682,-0.0922117892780606,-0.848749060934205,-1.40524048873725,-1.52693880080967,
COT,1989-10-15,242,1989,-0.110965384720191,1.07234017273832,0.378475594617189,-0.1882389656027,-1.09075370427556,-1.38801425217741,
COT,1989-11-15,295,1989,1.14526057753262,0.349183940406106,1.38566345760772,0.656766652347023,-0.690294117049838,-1.06598089882195,
COT,1989-12-15,137,1989,0.568526330752797,1.08249400385449,0.374330718682064,1.32143207050657,0.0990148256777115,-1.05810403839761,-1.05282969215778
COT,1990-01-15,18,1990,-1.18690895090905,-0.321354507882058,0.707603466615466,0.225836899514921,0.511264555958625,-0.872711376154168,-1.05006743054862
COT,1990-02-15,53,1990,-0.819380851563527,-1.6289888934319,-0.886426581763432,0.208668357129593,1.00463440144336,-0.9067364581752,-1.17624791651436
COT,1990-03-15,411,1990,0.942082054744522,0.401502029188536,-0.116626518897342,-0.00196655854370259,0.196727055190634,0.0194422166638736,-1.03322291128325
COT,1990-04-15,150,1990,-1.49999167223301,-0.726149713797879,-1.00586384423534,-1.17241206529576,-0.475191741767132,-0.0962902967729256,-1.15226588478643
COT,1990-05-15,745,1990,0.339558088834527,-0.363439805801282,-0.142533784979094,-0.350793822286361,-0.5969290633706,0.452178896576628,-1.04391378658416
COT,1990-06-15,476,1990,-0.58261884447266,-0.113404449381152,-0.329371682156466,-0.378274252444394,-0.693731939889485,-0.656146473431314,-0.681457949759773
COT,1990-07-15,719,1990,0.717039508738161,0.0398679555617035,0.0938447146211839,-0.256864753306789,-0.174062232853605,-0.164370274685113,-0.151214454860614
COT,1990-08-15,219,1990,-0.523390983457585,0.231551252904239,-0.214547947515997,-0.0391509776365501,-0.333316373918288,-0.551404679255143,0.0550149967788001
COT,1990-09-15,140,1990,-0.532244809446509,-1.09697049776192,-0.362435500714183,-0.632419559056088,-0.762604914530557,-0.799186352550343,-0.578239113608156
COT,1990-10-15,83,1990,-0.994015368326611,-1.36059435302369,-1.69330639849497,-0.739811161994898,-0.633829532221497,-1.04583121396584,-0.926021403243435
COT,1990-11-15,143,1990,0.344534870457403,-0.880601421203527,-1.31685042345966,-2.56647099159813,-1.01935615107156,-0.908877768380213,-1.08721596379379
COT,1990-12-15,112,1990,0.370864222504637,0.234623804862928,-0.743650252018739,-1.22530738172875,-0.709062118954361,-1.02593585763896,-1.0415199247837
COT,1991-01-15,44,1991,-0.577176270177413,-0.310119734847111,-0.0569715011101873,-0.878167034088677,-2.07206845116158,-0.634042900077386,-0.992745802835158
COT,1991-02-15,346,1991,1.56279106927995,1.06818968426764,0.933501109579187,0.779047664322332,-0.610790637748222,-0.761430607555531,-0.654284430983306
COT,1991-03-15,67,1991,-1.29373686519854,0.126685151459055,-0.248862079848996,-0.238041372566799,-0.745624722350957,-0.815831040137539,-1.03742100693781
COT,1991-04-15,593,1991,0.523022497649144,-0.300038767944189,0.417494137419249,0.138603874497692,0.214396395188696,-1.01793122637388,-0.536646129669541
COT,1991-05-15,1734,1991,1.71872083117027,1.74323026445881,1.77584973635645,2.00209651260659,2.12379563050841,0.969649700617106,0.308209814517977
COT,1991-06-15,1487,1991,1.33876761756638,1.67738476476376,1.44792633324954,1.63871829215739,1.78111327410325,1.56256751076554,1.28914182333746
COT,1991-07-15,56,1991,-3,0.501796627252003,1.24177136687055,1.2870914998368,1.29659088275681,1.23690806735182,0.597248939133915
COT,1991-08-15,368,1991,0.116949438711447,-1.07462434614564,0.416563502890432,1.13033197638721,1.14670404468888,1.1805776026343,0.735241424303648
COT,1991-09-15,194,1991,-0.24205468762008,-0.389775319902686,-1.34896651071908,0.224251914624677,1.20638357077966,1.17370850208887,0.830425200539116
COT,1991-10-15,380,1991,0.350760924540541,-0.0866556271327081,-0.0552016154705443,-1.09016319676662,1.07009349512322,1.18320443197473,1.1037270763996
COT,1991-11-15,136,1991,0.295615030056475,0.289206667552938,-0.177929124042409,0.0135911902559089,0.218987166151021,1.03963943415117,1.06603522013865
COT,1991-12-15,18,1991,-0.919978469077206,-0.465070133381484,-0.0153652064993844,-0.363019819699392,-1.22834910861225,1.05210494516024,1.00780205698743
COT,1992-01-15,219,1992,1.38200573753287,0.433355500780627,0.355827803703814,0.369448980059987,-0.0261111096720441,1.0232714855925,1.12362415822373
COT,1992-02-15,199,1992,0.724725640445624,1.20653601024524,0.612102285010919,0.500231191319472,0.134337537542758,0.250214703186057,1.05123549951969
COT,1992-03-15,422,1992,0.991554338375655,1.18978549107912,1.77698671393034,1.18104562428907,0.677953969013766,-0.602327624686415,1.24559687033375
