site,id,date,class,order,family,genus,count,watershed,ecoregion
EAN1,ean1t6,2012-06-12,Hydrozoa,Anthomedusae,Hydridae,"",4,BEL,Great Plains
RED1,red1v6,2014-06-10,Branchiopoda,Notostraca,Triopsidae,"",1,MER,Great Plains
