sta,Date,waterYear,log_q1_mon,q1_mon,q7_mon,q30_mon,PC1_mon,PC2_mon,q30_q1_mon,ecoreg
bad_fpi,1989-01-15,1989,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,1990-01-15,1990,0.15493816930765,1.52849725552961,1.61740313616444,1.17971264688527,-2.56484440421103,0.00213059483987849,0.458207230964133,Pierre Shale Plains
bad_fpi,1991-01-15,1991,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,1992-01-15,1992,-0.912116028844574,0.208586873797105,0.119680993162273,0.109422622319793,-4.07496136936984,0.679923597309772,0.0991642514773123,Pierre Shale Plains
bad_fpi,1993-01-15,1993,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,1994-01-15,1994,-0.566644231932029,0.280395469694469,0.294073297484443,0.430851575384184,-3.55114139491989,0.504825825191765,0.150456105689715,Pierre Shale Plains
bad_fpi,1995-01-15,1995,0.343742806972347,9.76254958509402,8.42554191862405,4.1751569328896,-2.08831705762869,0.00425805018131211,7.05775913962664,Pierre Shale Plains
bad_fpi,1996-01-15,1996,0.300448535480717,3.18009496116898,3.21770898759141,2.57827053841012,-2.25311172711997,0.0165786571200649,2.54407596893518,Pierre Shale Plains
bad_fpi,1997-01-15,1997,1.80365395284153,130.192403818869,120.843608524421,88.5981295095573,0.699368298859188,-0.108981391063029,118.012298171897,Pierre Shale Plains
bad_fpi,1998-01-15,1998,0.861915693110977,8.12462970724462,7.79294238333775,10.0087504853136,-1.29494353010343,-0.119508733634971,3.81953341035027,Pierre Shale Plains
bad_fpi,1999-01-15,1999,0.535625365637095,3.50152391423337,3.77508047003285,7.25266818563377,-1.79960393891947,0.0556992223433645,3.82637232424526,Pierre Shale Plains
bad_fpi,2000-01-15,2000,0.590137038360345,3.95631168825001,4.11360670783471,4.39742163447668,-1.81790660241823,-0.105283825568633,0.680471932551212,Pierre Shale Plains
bad_fpi,2001-01-15,2001,-0.97468116602582,0.106003165372299,0.106003165372299,0.150456105689715,-4.11412874031368,0.752224721090676,0.0444529403174158,Pierre Shale Plains
bad_fpi,2002-01-15,2002,-0.586065521974866,0.266717641904495,0.253039814114521,0.318009496116898,-3.61423941288403,0.493453740157751,0.064969682002377,Pierre Shale Plains
bad_fpi,2003-01-15,2003,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2004-01-15,2004,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2005-01-15,2005,-0.603610931566022,0.547113111598964,0.389818092014262,0.222264701587079,-3.68174739200528,0.46830771140118,0.40691537675173,Pierre Shale Plains
bad_fpi,2006-01-15,2006,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2007-01-15,2007,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2008-01-15,2008,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2009-01-15,2009,-0.259017140171252,2.25342212839823,1.87044295027896,0.871961521610849,-3.12660572048639,0.307091893300849,1.76443978490666,Pierre Shale Plains
bad_fpi,2010-01-15,2010,-0.350738268534748,0.447948860121652,0.471885058754107,0.52317691296651,-3.27392203856151,0.340302609889952,0.0752280528448576,Pierre Shale Plains
bad_fpi,2011-01-15,2011,-0.0489665517484062,0.912995004980772,0.875380978558343,0.779636184028524,-2.88570407647663,0.132959338657919,0.153875562637209,Pierre Shale Plains
bad_fpi,2012-01-15,2012,0.603006398795009,4.01786191330489,3.92895603267006,3.68617458939802,-1.84848720409312,-0.155511564302423,0.345365151696846,Pierre Shale Plains
bad_fpi,2013-01-15,2013,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,2014-01-15,2014,1.07724712088531,54.1949731608249,48.2314402443962,19.6652969050353,-0.96308221224928,-0.306713737913268,35.418735062138,Pierre Shale Plains
bad_fpi,2015-01-15,2015,-0.0260687022525339,1.61398367921694,1.06687056761798,0.714666502026147,-2.89676364098981,0.103805619735119,1.02925654119555,Pierre Shale Plains
bad_fpi,2016-01-15,2016,0.595832776044769,4.26748227047192,3.72378861582045,3.90501983403761,-1.85905537104624,-0.132321986680654,0.875380978558343,Pierre Shale Plains
bad_fpi,2017-01-15,2017,-0.166295881615447,0.683891389498705,0.673633018656225,0.636018992233796,-3.04626610898751,0.207239198240991,0.0478723972649094,Pierre Shale Plains
bad_fpi,1989-02-15,1989,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
bad_fpi,1990-02-15,1990,0.264003909120422,3.73661157937355,3.11952172381338,1.77933884732074,-2.39325691828389,-0.0172809325655551,2.53271848693101,Pierre Shale Plains
bad_fpi,1991-02-15,1991,-0.97468116602582,0.106003165372299,0.106003165372299,0.106003165372299,-4.13165929762702,0.728106038176973,0,Pierre Shale Plains
