Sort,Latitude,Longitude,Sample Sites,Flow (cfs),Year,High_Low,Notes,DATE,TIME,D'/W',Depth(ft),Width(ft),Temp_C,Temp_F,pH,COND.,DO,TURB.,NH3,Hardness,Ca,Mg,Na,K,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,TSS,
457,43.232525,102.3023972,Porcupine Creek I,NA,1993,H,NA,6/10/93,8:00am,1.5'/---,1.5,,15,59,8.21,310,1.31,,,,,,32,,219,4,0.36,26,0.2,0.012,0.09,0.125,0,0.166,,0.018,0,0.24,0,0.05,0,0,0,0,0.11,,,,,,
458,43.232525,102.3023972,Porcupine Creek I,NA,1993,L,NA,11/18/93,,"1'2""/15'",1.2,15,3.6,38.48,8.31,274,12.47,6.64,,,,,40,,210,4,0.32,25,0.49,0,0.026,0.045,0,0.1,0.006,0.012,0,0.13,0,0.05,0,0,0,0,0.22,,,,,,
459,43.232525,102.3023972,Porcupine Creek I,NA,1994,H,date = e,6/21/94,,,,,NA,NA,,,,,,,,,35,,224,16,0.32,36,0.27,0,0.005,0.125,0,0.14,0.012,,0,0.44,0.01,0.08,0,,,,0.07,,,,,,
460,43.232525,102.3023972,Porcupine Creek I,NA,1994,L,NA,,,,,,,,,,,,,,,,32,,204,13,0.32,28,0.25,0,0.046,0.076,0,0.13,0.015,,0,0.14,0.012,0,0.0003,,,,0.05,,,,,,
461,43.232525,102.3023972,Porcupine Creek I,NA,1995,H,NA,5/4/95,12:30pm,1.7'/10.5',1.6,10.5,13,55.4,9.02,51.9,10.13,38.3,,,,,39,,224,7,0.31,30,0,0,0.019,0.038,0,0.152,0,,0,0,0,0,0.0004,,,,0.014,,,,,,
462,43.232525,102.3023972,Porcupine Creek I,NA,1995,L,NA,10/3/95,9:38am,"1'8""/16'2""",1.7,16.2,7.4,45.32,7.07,518,6.46,3.63,,,,,32,,210,9,0.26,27,0,0,0.07,0.07,0,0.13,0,,0,0.07,0,0,0.0004,,,,0,,,,,,
463,43.232525,102.3023972,Porcupine Creek I,NA,1996,H,NA,6/13/96,10:10am,"1'4""/14'",1.3,14,19.1,66.38,8.55,497,10.99,13.35,,,,,35,,210,4,0.3,32,0.14,0.02,0.18,0.18,0.005,0.153,0,,0,0.29,0,0.07,0.0002,,,,0.032,,,,,,
464,43.232525,102.3023972,Porcupine Creek I,NA,1996,L,NA,10/31/96,12:15pm,"1'1""/21'",1.1,21,1.62,34.916,9.46,627,1.97,5.5,,,,,41,,228,5,0.3,43,0.5,0,0.14,0.14,0,0.172,0,,0.013,0.18,0,0,0.0004,,,,0.037,,,,,,
465,43.232525,102.3023972,Porcupine Creek I,NA,1997,H,NA,6/6/97,10:17am,"1'9""/13'7""",1.8,13.7,17.93,64.274,7.68,1,3.42,141,,,,,42,,212,3,0.25,58,0.52,0.52,0.46,0.38,0.005,0.2,0,0,0,3.4,0.005,0.19,0.0004,0,,0,0,,,,,,
466,43.232525,102.3023972,Porcupine Creek I,NA,1997,L,NA,9/25/97,12:40pm,"1'/11'1""",1,11.1,12.78,55.004,8.63,487,4.57,13.8,,,,,42,,232,4,0.31,31,0.63,0,0.04,0.06,0,0.12,0,0,0,1.7,0.006,0.06,0,0,,0,0,,,,,,
467,43.232525,102.3023972,Porcupine Creek I,NA,1998,H,NA,,,,,,,,,,,,,,,,31,,186,18,0.37,29,0.24,0.24,0,0,0,0,0,0,0,0.34,0,0.06,0,0,,0,0,,,,,,
469,43.232525,102.3023972,Porcupine Creek I,NA,1999,H,NA,8/23/99,1:45pm,"6""/8'",0.5,8,18.78,65.804,7.65,467,9.07,12,,,,,27,,206,2,0.6,34,0,0.53,0.11,0.12,0,0.12,0,0,0,0.32,0,0.02,0,0,0,0,0,,,,,,
470,43.232525,102.3023972,Porcupine Creek I,NA,1999,L,NA,1/6/00,11:45am,"1'2""/7'4""",1.2,7.3,1.97,35.546,7.16,440,12.87,14.7,,,,,34,,216,3,0.3,10,0,0.736,0.11,0.13,0.006,0.13,0,0,0,0.6,0,0.05,0,0,0,0,0,,,,,,
471,43.232525,102.3023972,Porcupine Creek I,NA,2000,H,NA,,,,,,,,,,,,,,,,31,,220,3,0.4,32,0,0.43,0.11,0.12,0.006,0.1,0,0,0,1.6,0,0.1,0,0,0,0,0.008,,,,,,
472,43.232525,102.3023972,Porcupine Creek I,NA,2000,L,NA,,,,,,,,,,,,,,,,36,,210,3,0.4,36,0.62,0,0.06,0.07,0,0,0,0,0,0.07,0,0.02,0,0,0,0,0,,,,,,
473,43.232525,102.3023972,Porcupine Creek I,NA,2003,L,NA,,,,,,,,,,,,,,,,,,210,4.1,0.53,26,0.53,0.43,0.04,0.05,,0.13,0,0,0,0.16,0,0.04,0,0,0,0,0,,,,,,
751,43.232525,102.3023972,Porcupine Creek I,NA,2006,H,NA,8/30/06,9:10am,NA,0.6,3.8,14,57.146,7.9,420,9.59,6.4,nd,160,50,8,31,NA,NA,NA,NA,NA,0.48,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,nd,11,
771,43.232525,102.3023972,Porcupine Creek I,NA,2007,H,NA,7/17/07,11:24am,NA,3.5,2.9,18.4,65.066,8.66,430,2.53,19,nd,161,51,8.1,,,,,,,0.39,,,,,,,,,,,,,,,,,,,140,nd,12,
830,43.232525,102.3023972,Porcupine Creek I,NA,2008,H,NA,6/30/08,NA,NA,NA,NA,NA,NA,7.73,NA ,NA ,1,nd,158,47,10,NA,NA,NA,NA,NA,NA,0.2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,>2419.6,,nd,nd,
831,43.232525,102.3023972,Porcupine Creek I,NA,2008,H,NA,7/21/08,9:42am,NA,NA,NA,16.2,61.2,7.99,473.9,8.55,meter,nd,152,45,9,NA,NA,NA,NA,NA,NA,0.2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,>2419.6,,nd,30,
832,43.232525,102.3023972,Porcupine Creek I,NA,2008,H,NA,8/18/08,10:05am,NA,NA,NA,3.7,38.6,8.08,685.1,21.26,40.8,nd,163,49,10,NA,NA,NA,NA,NA,NA,0.3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,>2419.6,150,nd,nd,
833,43.232525,102.3023972,Porcupine Creek I,NA,2006,H,NA,9/16/06,2:31pm,NA,NA,NA,9.6,49.3,7.92,520.9,6.86,35.6,nd,163,51,8,NA,NA,NA,NA,NA,NA,0.3,NA,0.09,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,>2419.6,100,nd,32,
834,43.232525,102.3023972,Porcupine Creek I,NA,2008,L,NA,10/23/08,NA,NA,NA,NA,,,,,,,nd,171,55,9,NA,NA,NA,NA,NA,NA,nd,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,8,nd,nd,
960,43.232525,102.3023972,Porcupine Creek I,NA,2004,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,210,4.1,0.53,26,0.53,0.43,0.04,0.05,,0.13,,,,0.16,,0.04,,,,,,,,,,,
961,43.232525,102.3023972,Porcupine Creek I,NA,2004,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,220,4.6,0.47,,0.48,,0.01,0.02,,0.12,,,,0.04,,0.01,,,,,,,,,,,
1021,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,5/10/11,10:40am,NA,NA,NA,13.6,56.4,8.47,524.1,NA,NA,NA,190,58,10,42,10,,7,,31,0.3,,0.11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,>2419.6,,<3,,
1022,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,6/7/11,10:11am,NA,NA,NA,14.8,58.7,8.22,610.4,9.75,NA,NA,180,58,9,37,11,,7,,29,0.05,,0.05,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,>2419.6,,<3,,
1023,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,7/19/11,10:30am,NA,NA,NA,14.2,57.5,8.23,590.3,NA,NA,NA,180,56,10,42,11,,7,,31,0.05,,0.06,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,816,,3,,
1024,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,8/16/11,10:50am,NA,NA,NA,15.9,60.6,8.2,692.3,NA,NA,NA,170,53,8,32,11,,7,,27,0.4,,0.2,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,>2419.6,,<3,,
1025,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,9/21/11,11:32am,NA,NA,NA,8.7,47.6,8.53,468.6,5.22,12.7,NA,170,53,9,34,11,,7,,30,0.4,,0.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,>2419.6,,3,,
1026,43.232525,102.3023972,Porcupine Creek I,NA,2011,,NA,10/18/11,10:52am,NA,NA,NA,5.6,42,8.42,678.2,10.99,NA,NA,160,51,9,32,10,,7,,29,0.3,,0.05,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,>2419.6,,nd,,
543,42.987625,102.5588861,White Clay Creek I,NA,1993,H,NA,6/2/93,8:45am,"1.5'/9'2""",1.5,9.2,15,59,8.14,389,8.83,10.9,,,,,22,,220,6,0.38,24,1.33,0.025,0.162,0.245,0,0.211,0,0.011,0.005,2.49,0,0.09,0.0028,0.008,0,0,0.29,,,,,,
544,42.987625,102.5588861,White Clay Creek I,NA,1993,L,NA,11/17/93,NA,"2.9""/10'",0.3,10,0.4,32.72,7.31,282,1.86,4.97,,,,,,,238,11,0.38,24,0.99,0,0.016,0.042,0,0.14,0,0.011,0,0.3,0,0,0,0,<.002,<.0005,,,,,,,
545,42.987625,102.5588861,White Clay Creek I,NA,1994,H,NA,6/7/94,NA,"1'9""/9'11""",1.8,9.9,17.7,63.86,7.83,145,3.94,0.17,,,,,28,,214,17,0.36,25,0,0.03,0.019,0.068,0,0.12,0,,0,0.23,0.005,0.03,0,,,,0.05,,,,,,
546,42.987625,102.5588861,White Clay Creek I,NA,1994,L,NA,NA,NA,,,,,,,,,,,,,,28,,236,20,0.46,29,0.6,0.03,0.067,0.103,0,0.18,0.012,,0,1.28,0,0.03,0.0045,,,,0.12,,,,,,
547,42.987625,102.5588861,White Clay Creek I,NA,1995,H,NA,5/4/95,9:45am,"1.5'/9'6""",1.5,9.5,6.8,44.24,8.61,52.9,9.94,0.6,,,,,24,,230,6,0.35,24,0.6,0,0.018,0.028,0,0.175,0,,0,0.1,0,0,0.0006,,,,0.024,,,,,,
548,42.987625,102.5588861,White Clay Creek I,NA,1995,L,NA,9/28/95,10:11am,2.3'/8.1',2.3,8.1,11.34,52.412,8.22,559,8.3,1.57,,,,,28,,238,11,0.36,25,0.85,0,0.035,0.037,0,0.19,0,,0.008,0.39,0.009,0,0.0008,,,,0.02,,,,,,
549,42.987625,102.5588861,White Clay Creek I,NA,1996,H,NA,5/15/96,9:24am,"2'6""/8;4""",2.5,8.4,16.27,61.286,9.35,527,7,9.75,,,,,27,,220,6,0.4,25,0.4,0,0.03,0.03,0.005,0.15,0,,0.006,0.45,0,0.04,0.0002,,,,0.03,,,,,,
550,42.987625,102.5588861,White Clay Creek I,NA,1996,H,NA,9/9/96,10:14am,"2'3""/8'9""",0,,15.5,59.9,10.27,546,1.47,27.6,,,,,23,,230,6,0.4,24,0.9,0,0.07,0.08,0.006,0.201,0,,0,0.32,0.004,0,0.0002,,,,0.04,,,,,,
551,42.987625,102.5588861,White Clay Creek I,NA,1997,H,NA,6/4/97,8:47am,"3'2""/10'",3.2,10,14.46,58.028,8.01,570,7.11,97.7,,,,,37,,252,2,0.4,50,0.88,0.88,0.4,0.34,0.008,0.2,0,,0,3.1,0.005,0.17,0,0,,0,0,,,,,,
552,42.987625,102.5588861,White Clay Creek I,NA,1997,L,NA,10/1/97,11:19am,"2'5""/8'6""",2.4,8.5,11.84,53.312,9,539,5.42,14.3,,,,,29,,244,5,0.37,26,1.1,1.1,0.05,0.05,0.005,0.17,0,0,0,0.37,0,0.02,0,0,,0,0,,,,,,
553,42.987625,102.5588861,White Clay Creek I,NA,1998,H,NA,NA,NA,,,,,,,,,,,,,,28,,240,6.7,0.39,28,0.69,0.69,0.04,0.05,0.005,0.2,0,0,0,0.56,0,0.05,0,0,,0,0,,,,,,
555,42.987625,102.5588861,White Clay Creek I,NA,1999,H,NA,8/12/99,2:31pm,"1'10""/9'",1.8,9,19.63,67.334,8.32,507,9.17,15.6,,,,,24,,190,6,1.3,29,0,0.47,0.15,0.17,0.006,0.18,0,0,0,0.88,0.002,0.03,0,0,0,0,,,,,,,
557,42.987625,102.5588861,White Clay Creek I,NA,2000,H,NA,NA,NA,,,,,,,,,,,,,,26,,240,5,0.5,32,0.97,0,0.07,0.07,0,0.1,0,0,0,0.16,0,0.01,0,0,0,0,0,,,,,,
558,42.987625,102.5588861,White Clay Creek I,NA,2000,L,NA,NA,NA,,,,,,,,,,,,,,27,,256,11,0.3,31,0,0.81,0.22,0.23,0.006,0.2,0,0,0,2.02,0,0.09,0,0,0,0,0.013,,,,,,
876,42.987625,102.5588861,White Clay Creek I,NA,2009,H,NA,5/18/09,10:05am,NA,NA,NA,13.9,57,7.96,481.4,9.25,34.2,nd,180,58,9,,,,,,,0.2,,,0.04,,,,,,,,,,,,,,107,870,92,nd,10,
877,42.987625,102.5588861,White Clay Creek I,NA,2009,H,NA,6/11/09,10:15am,NA,NA,NA,14,57.2,7.56,460.2,8.57,33.5,nd,220,69,10,,,,,,,0.7,,,0.11,,,,,,,,,,,,,,416,>2419.6,420,nd,28,
878,42.987625,102.5588861,White Clay Creek I,NA,2009,H,NA,7/16/09,9:30am,NA,NA,NA,13.7,56.7,7.02,468.5,8.25,23,nd,210,68,9,,,,,,,0.5,,,0.12,,,,,,,,,,,,,,281,>2419.6,280,nd,75,
879,42.987625,102.5588861,White Clay Creek I,NA,2009,H,NA,8/17/09,9:00am,NA,NA,NA,14.4,57.9,8.02,471,8.47,44.4,nd,190,63,9,,,,,,,0.7,,,0.14,,,,,,,,,,,,,,575,>2419.6,1200,nd,130,
880,42.987625,102.5588861,White Clay Creek I,NA,2009,H,NA,9/3/09,9:00am,NA,NA,NA,13.9,57.1,7.54,492.3,8.02,30.1,nd,200,64,9,,,,,,,0.6,,,0.12,,,,,,,,,,,,,,299,>2419.6,410,nd,71,
963,42.987625,102.5588861,White Clay Creek I,NA,2003,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,240,6.4,0.6,24,0.87,,0.01,0.02,,0.16,,,,0.25,,,,,,,,,,,,,
964,42.987625,102.5588861,White Clay Creek I,NA,2004,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,230,6.8,0.51,,0.71,,0.02,0.03,,0.16,,,,0.17,,0.01,,,,,,,,,,,
1039,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,5/26/11,10:31am,NA,NA,NA,10.9,51.6,8.4,544.8,5.55,NA,NA,230,74,11,35,10,,11,,27,1,,0.13,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,1730,,<3,39,
1040,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,6/29/11,10:30am,NA,NA,NA,14.9,58.9,8.17,560.4,NA,NA,NA,220,72,9,26,8,,9,,24,0.9,,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2420,,<3,75,
1041,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,7/27/11,10:30am,NA,NA,NA,13.4,56.2,8.19,560.8,NA,NA,NA,220,72,10,28,10,,9,,27,1.1,,0.11,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,>2419.6,,nd,110,
1042,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,8/30/11,10:00am,NA,NA,NA,19,66.2,8.07,410.4,NA,NA,NA,200,65,10,25,9,,9,,25,1.2,,0.03,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,>2419.6,,nd,140,
1043,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,9/21/11,9:50am,NA,NA,NA,9.3,48.8,8.48,510.2,NA,9.6,NA,200,64,9,28,11,,9,,23,0.9,,0.2,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,>2419.6,,3,160,
1044,42.987625,102.5588861,White Clay Creek I,NA,2011,,NA,10/25/11,10:00am,NA,NA,NA,7.1,44.7,8.57,420.6,8.02,NA,NA,200,66,9,25,10,,10,,25,1.2,,0.07,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1730,>2419.6,,nd,220,
656,43.02409167,102.479025,Wolf Creek I,NA,1993,H,NA,6/9/93,7:30am,"9""/----",0.8,,15,59,8.2,310,1.55,,,,,,14,,187,4,0.37,0,0,0,0.05,0.075,0.005,0.233,0,0.009,0,0.2,0,0.03,0.0011,0,0,0,0.06,,,,,,
657,43.02409167,102.479025,Wolf Creek I,NA,1993,L,NA,11/17/93,NA,"8""/5'6""",0.7,5.5,1,33.8,8.21,209,13.04,1.34,,,,,12,,190,11,0.36,11,0,0,0.01,0.01,0,0.18,0,0.01,0,0.06,0,0.03,0.0014,0,0,0,0.25,,,,,,
658,43.02409167,102.479025,Wolf Creek I,NA,1994,H,NA,5/23/94,9:30am,"8""/2.5""",0.7,2.5,18.9,66.02,9,141,8.1,4.28,,,,,17,,196,9,0.41,10,0,0,0.071,0.124,0,0.23,0,,0,0.45,0,0.11,0,,,,0.09,,,,,,
659,43.02409167,102.479025,Wolf Creek I,NA,1994,L,NA,NA,NA,,,,,,,,,,,,,,13,,191,19,0.4,11,0.1,0,0.15,0.161,0,0.25,0.008,,0,0.32,0,0.06,0.0009,,,,0.06,,,,,,
660,43.02409167,102.479025,Wolf Creek I,NA,1995,H,NA,5/25/95,11:08am,"7""/3'6""",0.6,3.5,13.3,55.94,8.58,49.2,8.74,0.2,,,,,16,,202,6,0.45,16,0,0,0.04,0.055,0,0.258,0,,0,0.56,0,0.09,0,,,,0.01,,,,,,
661,43.02409167,102.479025,Wolf Creek I,NA,1995,L,NA,9/28/95,9:26am,1.05'/5',1,5,9.98,49.964,7.95,447,8.32,9.7,,,,,14,,204,8,0.3,0,0,0,0.035,0.037,0,0.24,0,,0,0.17,0,0.05,0.0006,,,,0.02,,,,,,
662,43.02409167,102.479025,Wolf Creek I,NA,1996,H,NA,5/21/96,9:50am,"7""/3'2""",0.6,3.2,13.17,55.706,9.35,452,7.9,13.69,,,,,13,,206,4,0.4,0,0.17,0,0.09,0.12,0,0.194,0,,0,0.49,0,0.16,0.0003,,,,0.014,,,,,,
663,43.02409167,102.479025,Wolf Creek I,NA,1996,L,NA,1/10/96,1:10pm,"5""/7'",0.4,7,15.14,59.252,10.15,440,1.4,4.8,,,,,11,,190,5,0.4,9,0,0,0.06,0.07,0,0.257,0,,0.01,0.06,0,0,0.0005,,,,0.02,,,,,,
664,43.02409167,102.479025,Wolf Creek I,NA,1997,H,NA,6/4/97,10:19am,"6""/3'",0.5,3,17.11,62.798,8.07,509,7.28,0,,,,,22,,237,2,0.46,14,0.26,0.26,0.13,0.09,0.005,0.3,0,0,0,0.55,0.002,0.17,0,0,,0,0.02,,,,,,
665,43.02409167,102.479025,Wolf Creek I,NA,1997,L,NA,9/25/97,10:57am,"6""/6'8""",0.5,6.7,11.84,53.312,8.7,422,4.86,4.4,,,,,13,,221,5,0.42,9,0.07,0,0.04,0.04,0,0.23,0,0,0,0.07,0,0.03,0,0,,0,0,,,,,,
666,43.02409167,102.479025,Wolf Creek I,NA,1998,H,NA,NA,NA,NA,,,,,,,,,,,,,13,,196,7,0.46,207,0,0,0.25,0.25,0.009,0.1,0.01,0,0.01,5.1,0.005,0.11,0,0,,0,0,,,,,,
668,43.02409167,102.479025,Wolf Creek I,NA,1999,H,NA,6/29/99,10:30am,"1'/2'6""",1,2.5,17.66,63.788,7.62,402,8.92,66.2,,,,,13,,196,0,0.55,10,0,0.09,0.3,0.35,0,0.26,0,0,0,1.19,0,0.15,0,0,0,0,0,,,,,,
670,43.02409167,102.479025,Wolf Creek I,NA,2000,H,NA,NA,NA,NA,,,,,,,,,,,,,12,,190,2,0.5,13,0.26,0,0.06,0.07,0,0.2,0,0,0,0.27,0,0.05,0,0,0,0,0.014,,,,,,
671,43.02409167,102.479025,Wolf Creek I,NA,2000,L,NA,NA,NA,NA,,,,,,,,,,,,,27,,218,5,0.4,11,0,0.12,0.09,0.1,0,0.2,0,0,0,0.55,0,0.09,0,0,0,0,0.009,,,,,,
672,43.02409167,102.479025,Wolf Creek I,NA,2004,H,NA,NA,NA,NA,,,,,,,,,,,,,12,,200,2.3,0.63,7,0,0,0.04,0.06,0,0.28,0,0,0,0.59,0,0.07,0,0,0,0,0,,,,,,
871,43.02409167,102.479025,Wolf Creek I,NA,2009,H,NA,5/18/09,9:20am,NA,NA,NA,13.6,56.4,7.86,440.1,9.44,41.6,nd,190,61,8,,,,,,,nd,,,0.08,,,,,,,,,,,,,,73,689,40,nd,nd,
872,43.02409167,102.479025,Wolf Creek I,NA,2009,H,NA,6/8/09,9:20am,NA,NA,NA,13.1,55.6,7.64,450.1,8.67,42.7,nd,190,62,8,,,,,,,0.2,,,0.06,,,,,,,,,,,,,,155,914,78,nd,nd,
873,43.02409167,102.479025,Wolf Creek I,NA,2009,H,NA,7/15/09,9:15am,NA,NA,NA,13.7,56.7,7.54,438.6,9.37,14.8,nd,190,63,8,,,,,,,0.2,,,0.1,,,,,,,,,,,,,,756,>2419.6,1100,nd,12,
874,43.02409167,102.479025,Wolf Creek I,NA,2009,H,NA,8/13/09,8:50am,NA,NA,NA,7.8,46,7.95,530.8,8.01,22.1,nd,180,62,7,,,,,,,nd,,,0.1,,,,,,,,,,,,,,192,>2419.6,220,nd,8,
875,43.02409167,102.479025,Wolf Creek I,NA,2009,H,NA,9/23/09,10:45am,NA,NA,NA,12.2,53.9,8.34,395.9,8.29,5.2,nd,180,60,8,,,,,,,nd,,,0.1,,,,,,,,,,,,,,104,>2419.6,140,nd,7,
970,43.02409167,102.479025,Wolf Creek I,NA,2003,L,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,210,2.5,0.58,6.6,,,0.13,0.19,,0.33,,,,3.7,0.003,0.29,,,,,0.01,,,,,70,
971,43.02409167,102.479025,Wolf Creek I,NA,2004,H,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,12,,200,2.3,0.63,7,,,0.04,0.06,,0.28,,,,0.59,,0.07,,,,,,,,,,nd,
972,43.02409167,102.479025,Wolf Creek I,NA,2004,L,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,220,3.6,0.54,,,,0.02,0.03,,0.23,,,,0.09,,0.02,,,,,,,,,,230,
1069,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,5/26/11,10:06am,NA,NA,NA,11.3,52.3,8.61,464.3,5.03,NA,NA,200,67,9,19,8,,6,,11,0.3,,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1120,,<3,nd,
1070,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,6/29/11,9:47am,NA,NA,NA,15.4,59.7,8.54,420.3,,NA,NA,190,62,7,13,8,,5,,9,0.05,,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,>2419.6,,<3,5,
1071,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,7/27/11,10:05am,NA,NA,NA,13.3,56,8.32,430.8,,NA,NA,180,59,8,17,9,,6,,9,0.3,,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,>2419.6,,<3,nd,
1072,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,8/18/11,9:59am,NA,NA,NA,16.7,62,8.29,403.4,8.05,NA,NA,170,58,7,13,9,,4,,7,0.3,,0.17,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,>2419.6,,<3,nd,
1073,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,9/21/11,10:55am,NA,NA,NA,9.8,49.7,8.65,395.9,,NA,NA,170,56,7,13,9,,5,,9,0.2,,0.11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,>2419.6,,<3,nd,
1074,43.02409167,102.479025,Wolf Creek I,NA,2011,,NA,10/25/11,9:25am,NA,NA,NA,6.2,43.2,8.61,394.3,7.65,NA,NA,160,54,7,12,8,,5,,10,0.3,,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,>2419.6,,nd,nd,
591,43.02743889,102.8340639,White River I,NA,1993,H,NA,5/2/93,2:10pm,1.5'/19',1.5,19,18.8,65.84,8.4,790,10.5,78.1,,,,,40,,91,3,0.15,100,0.13,0.051,0.213,0.61,0.068,0.237,0,0.045,0.019,24.2,0.022,0.36,0.0008,0.028,0,0,0.15,,,,,,
592,43.02743889,102.8340639,White River I,NA,1993,L,NA,12/8/93,NA,"2'6""/18'",2.5,18,0,32,8.53,569,12.87,69.7,,,,,68,,236,13,0.57,98,0.8,0,0.06,0.16,0,0.09,0,0.007,0,1.86,0,0.06,0,0,0,0.0044,0.1,,,,,,
593,43.02743889,102.8340639,White River I,NA,1994,H,NA,6/13/95,10:45am,1'/19.9',1,19.9,22.5,72.5,,108,5.38,4.93,,,,,88,,244,18,0.52,140,0,0,0.025,0.302,0.011,0.18,0.007,,0,3.39,0.007,0.16,0,,,,1.88,,,,,,
594,43.02743889,102.8340639,White River I,NA,1994,L,NA,NA,NA,,,,,,,,,,,,,,115,,232,32,0.56,226,0,0,0.098,0.108,0,0.17,0.019,,0,1.78,0,0.15,0.0011,,,,0.08,,,,,,
595,43.02743889,102.8340639,White River I,NA,1995,H,date = e,5/12/95,NA,,,,NA,NA,,,,,,,,,65,,242,11,0.58,115,0.42,0,0.113,0.325,0.018,0.199,0.006,,0.007,4.85,0.006,0.23,0.0004,,,,0.04,,,,,,
596,43.02743889,102.8340639,White River I,NA,1995,L,NA,9/28/95,11:51am,1.7'/22.5',1.6,22.5,12.09,53.762,8.37,1.71,8.59,70.2,,,,,194,,248,19,0.52,542,0.24,0,0.02,0.07,0,0.34,0,,0,1.51,0,0.05,0.0007,,,,0.02,,,,,,
597,43.02743889,102.8340639,White River I,NA,1996,H,NA,5/15/96,10:42am,"1'10""/2'2""",1.8,2.2,17.96,64.328,9.74,1.38,7.7,189.5,,,,,168,,270,22,0.5,380,0,0,0.095,0.25,0.01,0.315,0.01,,0.025,7.5,0.005,0.2,0.0004,,,,0.06,,,,,,
598,43.02743889,102.8340639,White River I,NA,1996,L,NA,9/30/96,10:00am,"2""/22.1""",2,22.1,11.39,52.502,10.6,653,1.68,,,,,,55,,228,8,0.5,74,0,0,0.01,0.09,0.008,0.199,0.01,,0.013,3.18,0.01,0.07,0.000455,,,,0.047,,,,,,
