ungaged,sta,date,waterYear,sci_1mo,sci_2mo,sci_3mo,sci_4mo,sci_6mo,sci_9mo,sci_12mo
AMH1,blc_wan,1989-06-15,1989,-1.93369445835874,-2.04628954132002,-2.02369712717459,-1.9057655628896,-2.04260902168361,-1.77926788334292,
AMH1,blc_wan,1990-06-15,1990,-1.68607349444594,-1.67238098812682,-1.79891625301747,-2.00901670731376,-1.84334638043828,-1.89707623643077,-1.99768336093251
AMH1,blc_wan,1991-06-15,1991,1.30167855003907,1.87769477856677,1.24882942516165,-0.178381815625849,-1.78106953424679,-1.99120533356313,-1.78001298088739
AMH1,blc_wan,1992-06-15,1992,-0.684609767152292,-1.40332042288696,-1.66624599722309,-1.59664743542628,-0.762577162020475,-0.772369827896166,-0.577161757762221
AMH1,blc_wan,1993-06-15,1993,1.21709316884456,0.697492239553823,-0.263763515553272,-0.731627996564122,-1.21010255228016,-1.33701390899962,-1.38107530106184
AMH1,blc_wan,1994-06-15,1994,0.292438845227251,0.108851416252005,-0.132229369419558,0.0469258285433552,0.374793959879555,0.440922985211203,0.192787608160034
AMH1,blc_wan,1995-06-15,1995,0.728533306238175,0.953028212322196,0.972012827175504,0.569107072830798,0.523681607137855,0.385460337732444,0.266093090911095
AMH1,blc_wan,1996-06-15,1996,0.441527406607518,0.717706631592746,0.730413121604554,0.909657331370706,0.788574744483081,0.822382518651564,0.675069886964794
AMH1,blc_wan,1997-06-15,1997,2.39948650711006,2.16117253544646,2.60518097333951,2.41630122911951,2.49959559532569,2.49065874666295,2.31170294868622
AMH1,blc_wan,1998-06-15,1998,0.300877937544503,0.206074621575149,0.262473271478873,0.453358048780429,0.718735351619503,0.844341571834114,1.50334423670292
AMH1,blc_wan,1999-06-15,1999,0.993322739319661,0.694106851970946,0.796233731004504,0.678170808550764,0.914820417879986,1.29334087123588,1.63505211787139
AMH1,blc_wan,2000-06-15,2000,-0.35478490511942,-0.1192241786212,0.00220998719300264,0.143838370212715,0.359521322065201,0.52156009094661,0.604874029968182
AMH1,blc_wan,2001-06-15,2001,0.0833287701352782,0.0719866244751053,0.333181080415898,0.90489251203239,0.483388352586594,0.344720832507756,0.254000379868618
AMH1,blc_wan,2002-06-15,2002,-0.817850758694756,-0.606513863206636,-0.41322848506578,-0.508760068192761,-0.294940334780725,-0.141209401150227,-0.0312833861732544
AMH1,blc_wan,2003-06-15,2003,-1.82993721128967,-1.36794413526804,-1.26438425953349,-1.06636262682675,-0.700710536294279,-0.526172034487822,-0.711140627437523
AMH1,blc_wan,2004-06-15,2004,-1.02052887359,-1.4229736002312,-1.47100135346971,-1.308886471367,-1.16360377211028,-0.87045674674846,-1.09766787843266
AMH1,blc_wan,2005-06-15,2005,0.0134809677065915,0.0244614809704139,0.0318735787291512,-0.214596532544093,-0.242727850820117,-0.303007485159664,-0.492403737605142
AMH1,blc_wan,2006-06-15,2006,-1.2859628259378,-1.14032049724799,-0.83484294625568,-1.06542362191941,-0.807864014036496,-0.684068684569364,-0.565858065144733
AMH1,blc_wan,2007-06-15,2007,-1.02052887359,-0.601138061121116,-0.612828536618601,-0.496985243896774,-0.480045178067237,-0.663556175895605,-0.910848194263554
AMH1,blc_wan,2008-06-15,2008,0.420106739193708,0.242796290740663,0.0951062157206179,0.36839147891277,-0.239224299932786,-0.621092334998334,-0.935507795835121
AMH1,blc_wan,2009-06-15,2009,-0.2984045456574,-0.19602042200024,0.338426078297116,0.743075840534296,0.93156485286712,0.701053244130403,0.231103196920302
AMH1,blc_wan,2010-06-15,2010,0.297672447026672,0.411515659931491,0.62360324136048,0.988461479100406,0.824095797338256,0.770914663700848,0.787197787521913
AMH1,blc_wan,2011-06-15,2011,0.64611684190326,0.811106130875084,1.01068793177933,1.53726310368953,1.66814828942377,1.5233035700593,1.1506160463052
AMH1,blc_wan,2012-06-15,2012,-0.61177972955847,-0.657488129292231,-0.646372940503777,-0.559105711287124,0.00818735579113894,0.148198277325758,0.312926501844824
AMH1,blc_wan,2013-06-15,2013,-0.192167633028733,-0.280136600040079,-0.290544473609338,-0.393258029211433,-0.295212404610976,-0.422843447613862,-0.893879894959943
AMH1,blc_wan,2014-06-15,2014,1.02705256438445,0.850670845251472,0.580669862777397,0.577877457763735,0.0964364646863484,0.142833867748305,-0.319100998209081
AMH1,blc_wan,2015-06-15,2015,1.28079468996653,1.44897575960251,1.17641248428326,0.895056530407631,0.595937902093319,0.537338210206468,0.820528335237957
AMH1,blc_wan,2016-06-15,2016,0.20380352284724,0.220321508254299,0.444651898492309,0.357310541758682,0.482400775444371,0.635805528342919,0.822789750655818
AMH1,blc_wan,2017-06-15,2017,-0.351516919509095,-0.26271908652832,-0.223593739277277,-0.177233207544255,0.0873667016035306,0.0591448230692405,0.10296877947295
AMH1,blc_wan,2018-06-15,2018,0.442550824583446,0.280806856361853,0.389677290748118,0.622623617680849,0.503365701448018,0.352165662829431,0.00351716420925477
BEA1,blc_wan,1989-06-15,1989,-1.93369445835874,-2.04628954132002,-2.02369712717459,-1.9057655628896,-2.04260902168361,-1.77926788334292,
BEA1,blc_wan,1990-06-15,1990,-1.68607349444594,-1.67238098812682,-1.79891625301747,-2.00901670731376,-1.84334638043828,-1.89707623643077,-1.99768336093251
BEA1,blc_wan,1991-06-15,1991,1.30167855003907,1.87769477856677,1.24882942516165,-0.178381815625849,-1.78106953424679,-1.99120533356313,-1.78001298088739
BEA1,blc_wan,1992-06-15,1992,-0.684609767152292,-1.40332042288696,-1.66624599722309,-1.59664743542628,-0.762577162020475,-0.772369827896166,-0.577161757762221
