model,split,Rsquared,MAE,num_param,n,R2adj
elastic,train,0.8589486735425328,0.5860534618435419,3,34,0.844843540896786
lasso,train,0.8639618302494063,0.6077269579064307,2,34,0.8551851741364648
ridge,train,0.8375033971876975,0.6344141558220451,12,34,0.7446481955806675
elastic,test,0.7780452171306323,0.5570605313058319,3,8,0.6115791299786066
lasso,test,0.7698991849655823,0.5801591670715793,2,8,0.6778588589518152
ridge,test,0.8310196312596451,0.5115198136845087,12,8,0
