sta,date,prcp,spi_1mo,spi_2mo,spi_3mo,spi_4mo,spi_6mo,spi_9mo,spi_12mo,spi_24mo
COT,1954-01-15,30,-0.726723246147325,-0.665085680418579,-1.17630818325123,0.26446200093082,-0.493538087753083,-1.03326333422725,0.128027604395868,0.075176950533493
COT,1954-02-15,104,0.0953067825242643,-0.4348933232126,-0.459017657670217,-0.952757886199377,-0.615476895159492,-0.66556109724497,-0.312541419936018,-0.124406623753619
COT,1954-03-15,426,1.03325611867613,0.799825542230592,0.460294288765175,0.384721955381122,0.50663902932956,-0.410126394014842,-0.260957205048192,-0.129515528566443
COT,1954-04-15,46,-2.01355951596458,-0.730628810955732,-0.746875330708411,-0.889055032743481,-1.20767065382863,-0.901457984249966,-1.29807110445877,-0.128583409121161
COT,1954-05-15,861,0.456413616443831,-0.52483360571337,-0.148366753941626,-0.212427599261276,-0.423857874014944,-0.625970867007677,-0.743289154441939,-0.141142396984416
COT,1954-06-15,481,-0.550270490962057,-0.159256719793362,-0.779077022813083,-0.508498647943528,-0.686167500586573,-0.519094088326126,-0.943928830816879,-0.822235740951909
COT,1954-07-15,102,-1.67967591509292,-1.42476151549606,-0.751437515421721,-1.33900962121199,-1.13171838636531,-1.38763818852183,-1.23832861882493,-1.0006744385433
COT,1954-08-15,290,-0.25108221901119,-1.35213452888851,-1.45373532610119,-0.863435141080498,-1.24441131243819,-1.34582380174879,-1.36298106696072,-0.810743313851915
COT,1954-09-15,160,-0.208769694936419,-0.564547441852942,-1.59598125005559,-1.93052590120597,-1.92062328146555,-1.99917391781166,-1.4065638657986,-0.873702134750753
COT,1954-10-15,635,1.10471909918876,0.584586555420291,0.293199739320794,-0.509286803914118,-0.559875252064849,-0.923760532352091,-1.1668027141793,-0.349189563229332
COT,1954-11-15,160,0.538309895162942,1.1500425171212,0.588539118110126,0.325400917629779,-0.949785170719679,-0.846457520397316,-1.01238037652544,-0.365519051230925
COT,1954-12-15,10,-1.22405722781555,-0.237275155854756,0.889904073449423,0.407018316814056,-0.598170750864231,-1.18774593663919,-1.1345830555968,-0.404453247807027
COT,1955-01-15,59,-0.208629281999727,-1.22460160764899,-0.503044504697658,0.770172659346117,0.0661934475624164,-0.674780762223654,-1.03549892543006,-0.748043718912197
COT,1955-02-15,107,0.123577414487307,-0.170914892847335,-0.78645642910523,-0.434030759449703,0.222448926587261,-1.1591903318129,-1.03315529011106,-1.03772766660718
COT,1955-03-15,79,-1.02919169060548,-0.85209542837107,-0.927885026317694,-1.55077142129262,0.204660698333306,-1.03424352558033,-1.52549497276798,-1.29441609062736
COT,1955-04-15,292,-0.460787206664709,-1.16818830453027,-1.11225004903687,-1.11903754740848,-1.28747461751096,-0.541443820907566,-1.0965808176531,-1.71590676283822
COT,1955-05-15,639,-0.0270447117617863,-0.466251587315619,-0.905916793550796,-0.919551871023192,-1.18574495035226,-0.572758630208292,-1.4601481294158,-1.48443736394992
COT,1955-06-15,468,-0.587138919214223,-0.542305811284591,-0.759295589236194,-1.1789985399941,-1.23481843303747,-0.693440251352755,-1.35449283997048,-1.76287651602565
COT,1955-07-15,391,-0.077733609114232,-0.693226247187692,-0.668221637776003,-0.868527048613172,-1.20185754300007,-1.32692626454171,-0.956094134489957,-1.72152583402769
COT,1955-08-15,506,0.554941427863441,0.102609013489526,-0.444598154162114,-0.479878088625631,-0.980216688700646,-1.14913662134616,-0.725831113618536,-1.54421089512958
COT,1955-09-15,989,1.72173398329606,1.64798657987603,1.30549772028674,0.595881984729565,0.22160549928295,-0.0482328248994049,0.25642082797845,-0.756267895182388
COT,1955-10-15,21,-1.25445560986339,0.952863140501915,0.958805435610349,0.699994337499946,0.0417667958982897,-0.336297389791186,-0.469294931128069,-1.24746422743016
COT,1955-11-15,125,0.268639052344031,-1.15384736651584,0.927559567751334,0.934424475593257,0.143889458809018,-0.326385869353534,-0.518862463603799,-1.17318176607257
COT,1955-12-15,279,1.53339834174119,1.09734023922559,-0.152428448866244,1.16814594621706,0.899584011370954,0.0708924215256837,-0.175769591802687,-1.00575074722501
COT,1956-01-15,67,-0.0969433175064333,1.07518556537343,0.832421753267423,-0.239112363295885,1.0967158448727,0.184398021915364,-0.148047988318553,-0.95811239779107
COT,1956-02-15,51,-0.533313237313321,-0.587370795031201,0.547851540084802,0.413142273885927,0.961870291448727,0.208194146028961,-0.245477879454122,-0.990655826512413
COT,1956-03-15,142,-0.434102136505535,-0.800720590371295,-0.840911374883785,0.0293249877244571,-0.850139246485642,0.537772870614344,-0.158622363067235,-1.21282434581526
COT,1956-04-15,333,-0.283978269409617,-0.718397195031194,-0.929633995162714,-0.931579980428758,-0.273855528354557,0.57683997574664,-0.193850830659535,-0.927148654998982
COT,1956-05-15,699,0.113449638604768,-0.229416121150069,-0.50767699533677,-0.672748104678138,-0.372607936597243,0.285668863167964,-0.222043657933166,-1.09543818884661
COT,1956-06-15,185,-1.68649943113492,-0.95657965419306,-1.10797943624645,-1.47294965398505,-1.57887158332063,-1.57726059581794,-0.43176217548668,-1.27995055847307
COT,1956-07-15,781,0.887388392177694,-0.463018902088389,-0.420999480137196,-0.569252854026698,-0.868224213088178,-0.628099325650398,0.000151474203055992,-0.680305506056214
COT,1956-08-15,808,1.3773175717199,1.44266614817953,0.210186894363377,0.117014416870868,-0.179780954828913,-0.0992558605532759,0.295389643945539,-0.286431531586169
COT,1956-09-15,211,0.0109845077360443,0.858619458205491,1.16650875905313,0.0462136008047958,-0.08970486315575,-0.395345280002277,-0.474378366391569,-0.264907902760197
