month,mu_1,sigma_1,gamma_1,mu_2,sigma_2,gamma_2,mu_3,sigma_3,gamma_3,mu_4,sigma_4,gamma_4,mu_5,sigma_5,gamma_5,mu_6,sigma_6,gamma_6,mu_9,sigma_9,gamma_9,mu_12,sigma_12,gamma_12,mu_18,sigma_18,gamma_18,mu_24,sigma_24,gamma_24
1,9.43380281690141,7.46026083679561,1.74984938972558,9.60714285714286,5.36123912346769,0.918282291533203,10.8414285714286,4.75973014901754,0.732889351506736,15.1785714285714,7.91286657618129,1.51079688279278,18.2408571428572,8.5684624712916,1.33603635434938,22.0835714285714,8.74811499470451,1.24497084027873,36.8512698412698,10.5370836365416,0.83653717303775,34.8729761904762,8.50043667915711,0.477323776003381,30.6256038647343,7.05903828254409,0.711496448083837,34.8360507246377,6.45058883686264,0.35953653605636
2,13.2671428571429,10.2382081375959,1.57428635860868,11.33,6.55167595962118,1.30707729065151,10.8729468599034,4.99662278278209,0.828774803620889,11.3739130434783,4.491821623872,0.920194061130841,14.7753623188406,6.41676725742504,1.34797734562833,17.2792270531401,7.12130282716596,1.26836695184103,29.8460547504026,8.25514988254096,0.649942462470986,34.6859903381643,8.41571130760488,0.560708318576533,28.9937091503268,6.65046519737271,0.708585283401312,34.8299019607843,6.53268353146795,0.395752514321839
3,24.4814285714286,15.9107301109056,1.32509441990309,18.8742857142857,9.58891533606737,0.803960136445636,15.7138095238095,7.18062117606942,0.997535859055154,14.3402173913043,5.29111646474085,0.746988440008911,14.0475362318841,4.63564507576475,0.826280356160797,16.4364734299517,5.75929784129533,1.06943071636449,24.3595813204509,6.35837265661189,1.05279334800149,34.7196859903382,8.45181590955622,0.829402228012837,28.6772875816993,6.53669105160558,0.660450594232604,34.8138480392157,6.4678846381349,0.406348696846183
4,49.0657142857143,30.4176593985018,0.810701427107151,36.7735714285714,17.0823627820414,0.916792690757394,28.9380952380952,11.9348810031654,0.966169448535211,24.0517857142857,9.69428537329548,1.02013460310258,21.2756521739131,8.13940723460767,1.07662919595164,19.875845410628,7.11918450414343,1.1039055423871,24.2615136876006,6.83846786521725,1.24745914816774,34.7088164251208,8.89342065303707,0.934821173851438,29.8187091503268,6.49573740123537,0.492883927880594,34.8104779411765,6.81887048210239,0.381310203943664
5,74.5385714285715,48.5880845285087,1.75484249632759,61.8021428571429,27.1602349173971,1.14165140302897,49.3619047619048,17.9961898584893,0.807044544850126,40.3382142857143,13.5819692604214,0.536688412193795,34.1491428571429,11.3743195359625,0.614426921337285,30.2328502415459,9.84923762202316,0.71021003529682,28.0504025764895,8.39952246845292,0.770650108374024,34.782729468599,7.84258012541153,0.221079907728743,33.2742647058823,6.77175725869024,0.263867302995061,34.8281862745098,6.30660414500673,0.253662345127708
6,73.6714285714286,43.5151277784414,0.880410895541084,74.105,34.1885281162179,0.848038555380394,65.7585714285715,25.6632099207662,0.720856853108569,55.4392857142857,18.7851497018837,0.433858032221565,47.0048571428572,15.2054079935993,0.345260072488023,40.7361904761905,13.1142485707254,0.314749695097198,32.9109500805153,10.3614809403938,0.663278060744006,34.7346618357488,9.05425904197541,0.632739921420793,36.7326086956522,7.81031781145631,0.476306591648189,34.8170343137255,6.93500396869149,0.62024476582334
7,50.95,33.7424417209311,1.53458967795891,62.3107142857143,28.6531350810605,0.435311337366422,66.3866666666667,25.9173403078247,0.626244973327251,62.0564285714286,21.3527339374314,0.521835792175089,54.5414285714286,16.7347955457039,0.276748416221003,47.6623809523809,14.1181125327724,0.212453227411544,35.4668276972625,10.0375448918482,0.264911472199578,34.8583333333333,9.22129695563534,0.659195806425632,39.0613526570048,8.07225174649189,0.324644169941946,34.8710784313726,7.04016145539002,0.497251822433255
8,41.2971428571429,25.0280624327117,1.03955156162926,46.1235714285714,21.7484400531674,1.23946621055414,55.3061904761905,21.1369611163008,0.451841496475246,60.1142857142857,20.9178711865995,0.637519574215918,57.9045714285714,17.7432263963676,0.584510833494209,52.3340476190476,14.5121260372955,0.348199721769332,38.6436392914654,10.2101382603611,0.234157826214477,34.9041062801933,9.11365192529465,0.587475908803455,40.633655394525,8.30499092410668,0.417053442114915,34.8838235294118,6.95131403946742,0.492685922894575
9,30.49,24.5160001060729,1.30800659029081,35.8935714285714,18.6692962316462,0.971730510182687,40.912380952381,16.4891050320457,1.19647179816396,49.1021428571429,16.3471420794784,0.639874033319184,54.1894285714286,16.9652365766173,0.77310452720115,53.3354761904762,15.2368635983929,0.693430847318857,40.7949206349206,10.400608522105,0.368873065684819,34.9664251207729,9.02588579811113,0.644709630612704,40.9785829307568,8.29077101276414,0.4711473535881,34.890012254902,6.83897910279739,0.49687679547664
10,28.5985507246377,26.4580265159363,2.1825156360779,29.34,18.857881572461,1.26025195653751,33.3257142857143,16.0931913902337,1.09395984770477,37.7317857142857,14.5114702676634,1.05132947499306,44.9197142857143,14.5786704629708,0.847250599972842,49.8561904761905,15.5604524761438,0.907964303489044,42.8834920634921,11.0554001418977,0.517890473058448,34.9573671497584,8.66381851571267,0.500678021823646,39.8188405797102,8.42397691925038,0.505957318065084,34.8882352941176,6.61379108659163,0.312435402230855
