date,oel,duration
1909-06-01,0.425371996923088,1
1909-07-01,-0.693389379400944,1
1909-08-01,0.421229145437896,1
1909-09-01,-0.441651649080492,1
1909-10-01,-1.09143121665744,1
1909-11-01,0.896463066607877,1
1909-12-01,1.24788481192982,1
1910-01-01,-0.132847987293305,1
1910-02-01,0.219376513153127,1
1910-03-01,0.125201691041415,1
1910-04-01,-0.986851432722045,1
1910-05-01,-0.678448345933083,1
1910-06-01,-0.167080838698175,1
1910-07-01,0.762365980336805,1
1910-08-01,0.0674707509692775,1
1910-09-01,0.189829800052617,1
1910-10-01,0.131886191949572,1
1910-11-01,0.119128572220013,1
1910-12-01,0.733890339889251,1
1911-01-01,-0.132847987293305,1
1911-02-01,0.0555120167693762,1
1911-03-01,-1.24034055554242,1
1911-04-01,-0.355287908322229,1
1911-05-01,-1.38014899013155,1
1911-06-01,-0.327627076427754,1
1911-07-01,-0.901897490437401,1
1911-08-01,1.42845587260642,1
1911-09-01,0.358670132736161,1
1911-10-01,0.920749084508247,1
1911-11-01,0.159316699653858,1
1911-12-01,0.317982143048481,1
1912-01-01,2.09713141304572,1
1912-02-01,0.340719025284451,1
1912-03-01,0.77993221027176,1
1912-04-01,1.48249559542465,1
1912-05-01,-0.93788667433941,1
1912-06-01,0.170717013714079,1
1912-07-01,2.1861493237007,1
1912-08-01,0.466207187178874,1
1912-09-01,0.894569957648401,1
1912-10-01,-0.0521720293794535,1
1912-11-01,0.524237252624255,1
1912-12-01,-1.91851397711765,1
1913-01-01,-0.486904828992877,1
1913-02-01,0.304363190110947,1
1913-03-01,0.394317058079876,1
1913-04-01,-1.3804114741898,1
1913-05-01,0.38690351236605,1
1913-06-01,0.46166667497877,1
1913-07-01,-0.218895251358295,1
1913-08-01,1.2477458744699,1
1913-09-01,0.999807342006203,1
1913-10-01,0.486659773738211,1
1913-11-01,-1.2395372028284,1
1913-12-01,1.16872093643149,1
1914-01-01,-0.722157912561146,1
1914-02-01,1.06763814539285,1
1914-03-01,-1.87911822073832,1
1914-04-01,1.79877913419593,1
1914-05-01,1.01883038912243,1
1914-06-01,0.0663780577177203,1
1914-07-01,-2.2939559957472,1
1914-08-01,-0.206726494948838,1
1914-09-01,-0.11100034755474,1
1914-10-01,0.534602889091481,1
1914-11-01,-1.2395372028284,1
1914-12-01,0.0691684398567498,1
1915-01-01,1.65230313056597,1
1915-02-01,3.07615700045162,1
1915-03-01,1.50022386825204,1
1915-04-01,1.8230351688865,1
1915-05-01,1.38828961297967,1
1915-06-01,2.72537222316558,1
1915-07-01,0.945453894268665,1
1915-08-01,1.61636745130422,1
1915-09-01,2.9980567097,1
1915-10-01,0.585023532342122,1
1915-11-01,0.768250150137422,1
1915-12-01,2.08431455529317,1
1916-01-01,0.383650342966835,1
1916-02-01,0.535510642459991,1
1916-03-01,-0.155444534697814,1
1916-04-01,-1.44668562361685,1
1916-05-01,0.776753796148854,1
1916-06-01,0.574939476769479,1
1916-07-01,0.174681301640033,1
1916-08-01,0.67636432985127,1
1916-09-01,-1.91483292250014,1
1916-10-01,-0.399749178277768,1
1916-11-01,1.20903742850075,1
1916-12-01,-0.619190395064469,1
1917-01-01,0.590312978572042,1
1917-02-01,-0.259299638104629,1
1917-03-01,0.517353028296484,1
1917-04-01,0.798931237189104,1
1917-05-01,0.789684285671215,1
1917-06-01,0.123453950652046,1
1917-07-01,-1.68929914461718,1
1917-08-01,-1.06507591713492,1
1917-09-01,-0.486167242357495,1
1917-10-01,-0.381364510887352,1
