date,cot,duration
1909-06-01,-0.471915415133457,1
1909-07-01,1.39555561815783,1
1909-08-01,-1.31045135808659,1
1909-09-01,0.249863713787771,1
1909-10-01,-0.82116527124712,1
1909-11-01,0.141805792728522,1
1909-12-01,0.771454639864512,1
1910-01-01,0.921842220758461,1
1910-02-01,-1.10022698042535,1
1910-03-01,0.116113782469367,1
1910-04-01,-0.545157516662963,1
1910-05-01,-0.0310572904301528,1
1910-06-01,-0.902947565943166,1
1910-07-01,-0.486578479654975,1
1910-08-01,-1.13373997154082,1
1910-09-01,-0.0776594407063776,1
1910-10-01,-0.694144815593267,1
1910-11-01,0.397661056083014,1
1910-12-01,0.0610854098488681,1
1911-01-01,-1.68627357002557,1
1911-02-01,0.643596395296482,1
1911-03-01,-2.35850679523515,1
1911-04-01,-0.761712052019076,1
1911-05-01,-1.06183257775117,1
1911-06-01,-1.43867486327867,1
1911-07-01,-1.09435648448921,1
1911-08-01,0.874862808030694,1
1911-09-01,1.81584656049284,1
1911-10-01,0.351810109548915,1
1911-11-01,0.749448320664793,1
1911-12-01,0.827274585947585,1
1912-01-01,1.21914458070319,1
1912-02-01,-1.2992947583707,1
1912-03-01,-0.866898206756996,1
1912-04-01,1.19499262164238,1
1912-05-01,-0.85575969282791,1
1912-06-01,-1.17484097706614,1
1912-07-01,0.49889158786895,1
1912-08-01,1.49461757763255,1
1912-09-01,0.403302867731384,1
1912-10-01,-1.25223506044587,1
1912-11-01,-1.53794027927984,1
1912-12-01,-0.692936690122896,1
1913-01-01,-0.288989901879855,1
1913-02-01,-0.861887942978345,1
1913-03-01,-0.518892122874215,1
1913-04-01,-0.450485449752852,1
1913-05-01,0.2147964299331,1
1913-06-01,-1.48182388485811,1
1913-07-01,-0.812965394255635,1
1913-08-01,0.452583614093828,1
1913-09-01,0.264700342680599,1
1913-10-01,-0.0356750916690002,1
1913-11-01,-0.713061130630906,1
1913-12-01,0.424644287929129,1
1914-01-01,-1.68627357002557,1
1914-02-01,1.47856550535855,1
1914-03-01,-0.724672813505074,1
1914-04-01,0.482131406407866,1
1914-05-01,-0.149338494106807,1
1914-06-01,-0.660680733881061,1
1914-07-01,-0.553479184369511,1
1914-08-01,0.487084747365508,1
1914-09-01,0.301260784181155,1
1914-10-01,1.10515542334976,1
1914-11-01,-1.38999921569369,1
1914-12-01,1.23833207582795,1
1915-01-01,0.392740401998021,1
1915-02-01,1.90124467200853,1
1915-03-01,-0.081461510850668,1
1915-04-01,0.862010373604966,1
1915-05-01,2.02419476321173,1
1915-06-01,0.980006329273692,1
1915-07-01,1.5685363910508,1
1915-08-01,-0.367960195471504,1
1915-09-01,1.19815856020702,1
1915-10-01,0.109464418533888,1
1915-11-01,-1.53794027927984,1
1915-12-01,-0.814270640044966,1
1916-01-01,0.420535372868914,1
1916-02-01,-1.85111971496534,1
1916-03-01,-0.905310751337951,1
1916-04-01,-0.800958933623103,1
1916-05-01,0.708886587159555,1
1916-06-01,-0.535221691820996,1
1916-07-01,0.094218755495278,1
1916-08-01,0.743782756902028,1
1916-09-01,-1.11680158680509,1
1916-10-01,-0.266835669152716,1
1916-11-01,-0.646144394533239,1
1916-12-01,-0.563393323153306,1
1917-01-01,1.96195330443186,1
1917-02-01,0.643596395296482,1
1917-03-01,-0.841978471008091,1
1917-04-01,0.275780773361576,1
1917-05-01,0.411085302018944,1
1917-06-01,-1.45656246949795,1
1917-07-01,-0.708687521012625,1
1917-08-01,0.575700237503648,1
1917-09-01,0.294008103648128,1
1917-10-01,-1.12952068701547,1
1917-11-01,0.0949942513048769,1
1917-12-01,0.602080268438901,1
1918-01-01,0.263739973074943,1
1918-02-01,-0.577425350947101,1
1918-03-01,-0.758678912347815,1
1918-04-01,0.490830807351821,1
1918-05-01,0.118443781967714,1
1918-06-01,-0.848242272110818,1
1918-07-01,0.425976659214721,1
1918-08-01,1.48819613810484,1
1918-09-01,0.506543590685175,1
1918-10-01,-0.759847858414627,1
1918-11-01,-0.839997265849896,1
1918-12-01,-0.0969009415052118,1
1919-01-01,-1.68627357002557,1
1919-02-01,-0.0541066920566218,1
1919-03-01,0.0399518407090367,1
1919-04-01,1.44849700896199,1
1919-05-01,-0.902808783649799,1
1919-06-01,1.05659869092861,1
1919-07-01,-0.097741623124908,1
1919-08-01,-1.80662307696695,1
1919-09-01,-0.949517093631123,1
1919-10-01,0.985997471637558,1
1919-11-01,0.736295922706625,1
1919-12-01,-0.291973313816744,1
1920-01-01,0.0672575140490181,1
1920-02-01,0.524681293408397,1
1920-03-01,-0.19039758147723,1
1920-04-01,0.864624886561062,1
1920-05-01,1.47670348871809,1
1920-06-01,0.645039624114597,1
1920-07-01,-0.98596874293878,1
1920-08-01,0.477725619134692,1
1920-09-01,0.668286201843505,1
1920-10-01,0.145489964705735,1
1920-11-01,0.0170583537683275,1
1920-12-01,-0.375774436492368,1
1921-01-01,-0.328683267192643,1
1921-02-01,-0.88811041035895,1
1921-03-01,-1.41042336894074,1
1921-04-01,-1.30775094809853,1
1921-05-01,0.187523871389174,1
1921-06-01,-1.32030987118012,1
1921-07-01,1.12127992691401,1
1921-08-01,-0.245168217542355,1
1921-09-01,-0.638533017971671,1
1921-10-01,-0.0177784642850284,1
1921-11-01,-0.174580527215588,1
1921-12-01,-0.259973812405537,1
1922-01-01,1.32087102895878,1
1922-02-01,0.0139671159579584,1
1922-03-01,-0.160577174301139,1
1922-04-01,-0.355009044896119,1
1922-05-01,0.169229418142166,1
1922-06-01,1.23652650881442,1
1922-07-01,2.26452503720995,1
