date,sta,q,q7,q30,water_year,qualifier,contrib_drain_area_va
1989-10-01,che_red,0.0585766823986756,0.152325670197833,0.103404609937489,1990,est,
1989-10-01,lcr_abv,0.144634803451432,0.144230277074736,0.16842095440112,1990,est,
1989-10-01,whi_whi,0.298248986519969,0.59557587339108,0.447856324834482,1990,est,
1989-10-02,che_red,0.0529133131249401,0.0960965038371733,0.104910122269424,1990,est,
1989-10-02,lcr_abv,0.15879322663577,0.146657435334908,0.169648017743763,1990,est,
1989-10-02,whi_whi,0.269932140151292,0.54905534007111,0.44832827227396,1990,est,
1989-10-03,che_red,0.0479578650104216,0.0757690534082297,0.105931888475893,1990,est,
1989-10-03,lcr_abv,0.167288280546373,0.149084593595081,0.171063860062197,1990,est,
1989-10-03,whi_whi,0.269932140151292,0.395335316926863,0.44832827227396,1990,est,
1989-10-04,che_red,0.0550370766025909,0.065655893990845,0.107423242384644,1990,est,
1989-10-04,lcr_abv,0.15879322663577,0.150298172725167,0.171724586477466,1990,est,
1989-10-04,whi_whi,0.269932140151292,0.330611096655601,0.447856324834482,1990,est,
1989-10-05,che_red,0.0571608400802417,0.0595879983404141,0.109089216846001,1990,est,
1989-10-05,lcr_abv,0.15879322663577,0.152320804608644,0.172385312892735,1990,est,
1989-10-05,whi_whi,0.269932140151292,0.298248986519969,0.447384377395004,1990,est,
1989-10-06,che_red,0.0607004458763264,0.056958576891894,0.110877897641623,1990,est,
1989-10-06,lcr_abv,0.161624911272638,0.155557015622207,0.173612376235378,1990,est,
1989-10-06,whi_whi,0.284090563335631,0.284090563335631,0.446912429955526,1990,est,
1989-10-07,che_red,0.0769826325383159,0.0584755508045018,0.112624103167691,1990,est,
1989-10-07,lcr_abv,0.195605126915051,0.163647543156115,0.175877723944872,1990,est,
1989-10-07,whi_whi,0.298248986519969,0.280045299568677,0.446912429955526,1990,est,
1989-10-08,che_red,0.0713192632645806,0.060295919499631,0.114181529717968,1990,est,
1989-10-08,lcr_abv,0.187110073004448,0.169715438806546,0.177387955751202,1990,est,
1989-10-08,whi_whi,0.284090563335631,0.2780226676852,0.446440482516048,1990,est,
1989-10-09,che_red,0.0755667902198821,0.0635321305131941,0.115927735244037,1990,est,
1989-10-09,lcr_abv,0.175783334456977,0.172142597066718,0.177954292678575,1990,est,
1989-10-09,whi_whi,0.284090563335631,0.280045299568677,0.444552692758136,1990,est,
1989-10-10,che_red,0.0783984748567498,0.0678807890626695,0.117532356538262,1990,est,
1989-10-10,lcr_abv,0.167288280546373,0.172142597066718,0.175216997529603,1990,est,
1989-10-10,whi_whi,0.269932140151292,0.280045299568677,0.438417376044922,1990,est,
1989-10-11,che_red,0.0798143171751834,0.0714203948587542,0.118934040433511,1990,est,
1989-10-11,lcr_abv,0.161624911272638,0.172547123443413,0.1731404287959,1990,est,
